name,source,gender,wikidata,type
Koidula,wikidata,F,Q237056,way
"A. Hahni trepp",wikidata,M,Q23942735,way
"Aleksander Puškini",wikidata,M,Q7200,way
"Aleksander Puškini tänav",wikidata,M,Q7200,relation
"August Weizenbergi tänav",wikidata,M,Q356158,relation
"Konstantin Sentšugovi tänav",wikidata,M,Q124911171,relation
Lavretsovi,wikidata,M,Q23942820,way
Lembitu,wikidata,M,Q960492,way
"Mihhail Maslovi",wikidata,M,Q4284011,way
"Paul Kerese",wikidata,M,Q207727,way
"Paul Kerese tänav",wikidata,M,Q207727,relation
"Paul Kerese väljak",wikidata,M,Q207727,way
"Vassili Gerassimovi",wikidata,M,Q66325479,way
